pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-03-20,92.8,-2.72,6.17,"Gallen, Zac",805779,668678,field_out,hit_into_play,,,,,8.0,"Jacob Wilson grounds out, shortstop Garrett Hampson to first baseman Pavin Smith.",S,R,R,AZ,ATH,X,6.0,ground_ball,0,0,2025,-0.62,1.47,-0.09,1.82,,,,0,1,Top,106.26,145.39,,,,,8.025220016553984,-134.59671141084368,-8.473774231223025,-9.341667680154982,31.25743901934212,-12.535646778625408,3.3,1.66,19.0,102.2,-5.0,92.1,2350.0,6.2,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.31,0.354,,0.0,,0.0,0.0,2.0,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209.0,0.022,-0.26,67.3,6.1,0.4,0.26,102.2,0,0,0.5,0.5,29,23,30,23,1,0,,,,,1.21,0.62,0.62,,-0.3828424107815981,-0.2139898882013393,42.307573476007725,33.26425690383043,30.05800704705434
KC,2025-03-20,80.0,-3.06,6.05,"Gallen, Zac",669127,668678,,ball,,,,,14.0,Shea Langeliers singles on a line drive to left fielder Randal Grichuk.,S,R,R,AZ,ATH,B,,,0,0,2025,0.49,-0.81,0.97,1.41,,,,1,1,Top,,,,,,,7.89834311370906,-116.35925441621671,-2.0350112248655714,3.088317671913966,20.76967485073741,-39.38508092572476,3.2,1.61,,,,79.5,2411.0,5.9,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.63,,,,,,,,2,1,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,38.0,0.0,0.039,,,,-0.039,,0,0,0.522,0.478,29,27,30,28,1,0,,,,,4.36,-0.49,-0.49,,,,,,
KC,2025-03-20,79.1,-3.06,6.1,"Gallen, Zac",669127,668678,single,hit_into_play,,,,,9.0,Shea Langeliers singles on a line drive to left fielder Randal Grichuk.,S,R,R,AZ,ATH,X,7.0,line_drive,1,0,2025,0.41,-0.74,0.74,1.5,,,,1,1,Top,88.17,78.19,,,,,7.469702837136181,-115.02341325099658,-1.8873561398494405,2.3070460540458746,20.52114111934518,-38.61575148385389,3.2,1.61,274.0,90.4,17.0,78.6,2317.0,5.9,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.58,0.849,,0.9,,1.0,0.0,4.0,2,2,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,35.0,-0.025,0.369,73.7,7.7,1.002,-0.369,90.4,0,0,0.522,0.478,29,27,30,28,1,0,,,,,4.38,-0.41,-0.41,,22.50289929596993,0.4331987887732048,31.986319552298774,44.48796279187268,39.69613599745118
FF,2025-03-20,93.4,-2.78,6.13,"Gallen, Zac",668709,668678,,ball,,,,,13.0,"JJ Bleday grounds out, catcher Jose Herrera to first baseman Pavin Smith. Shea Langeliers to 2nd.",S,L,R,AZ,ATH,B,,,0,0,2025,-0.78,1.45,-0.24,1.44,,,669127.0,1,1,Top,,,,,,,8.225633067174215,-135.49227287426987,-9.434447683935671,-11.463211645867071,31.396993099109224,-12.302230726384746,3.28,1.66,,,,92.8,2318.0,6.2,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.26,,,,,,,,3,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210.0,0.0,0.033,,,,-0.033,,0,0,0.497,0.503,29,27,30,28,1,0,,,,,1.19,0.78,-0.78,,,,,,
FC,2025-03-20,89.6,-2.96,6.07,"Gallen, Zac",668709,668678,,called_strike,,,,,3.0,"JJ Bleday grounds out, catcher Jose Herrera to first baseman Pavin Smith. Shea Langeliers to 2nd.",S,L,R,AZ,ATH,S,,,1,0,2025,0.21,0.78,0.6,3.29,,,669127.0,1,1,Top,,,,,,,8.325787194482617,-130.32466745752794,-2.5138068623752465,0.7626955643725428,25.69977490793482,-22.98102541897318,3.28,1.66,,,,89.7,2398.0,6.2,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.28,,,,,,,,3,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,178.0,0.0,-0.052,,,,0.052,,0,0,0.497,0.503,29,27,30,28,1,0,,,,,2.05,-0.21,0.21,,,,,,
CH,2025-03-20,85.6,-2.95,5.96,"Gallen, Zac",668709,668678,,foul,,,,,7.0,"JJ Bleday grounds out, catcher Jose Herrera to first baseman Pavin Smith. Shea Langeliers to 2nd.",S,L,R,AZ,ATH,S,,,1,1,2025,-1.28,0.55,-0.72,1.98,,,669127.0,1,1,Top,,,,,,,7.805731151190534,-124.45985499039332,-4.2672484421997465,-14.827680542126648,22.05948498462444,-25.79954402043564,3.28,1.66,282.0,85.3,26.0,85.6,1641.0,6.1,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.42,,,,,,,,3,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,228.0,0.0,-0.058,65.4,7.2,,0.058,88.0,0,0,0.497,0.503,29,27,30,28,1,0,,,,,2.54,1.28,-1.28,,2.9801252987950337,16.256897088689865,35.92701584275211,46.73272748821476,13.131603525514558
FF,2025-03-20,93.5,-2.79,6.08,"Gallen, Zac",668709,668678,field_out,hit_into_play,,,,,7.0,"JJ Bleday grounds out, catcher Jose Herrera to first baseman Pavin Smith. Shea Langeliers to 2nd.",S,L,R,AZ,ATH,X,2.0,ground_ball,1,2,2025,-0.48,1.45,-0.52,1.86,,,669127.0,1,1,Top,129.89,193.12,,,,,6.932831653972606,-135.88773708258606,-8.353555722261078,-7.503240658871119,29.17963591399545,-12.495377100513853,3.28,1.66,14.0,15.4,59.0,93.6,2277.0,6.4,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.13,0.123,,0.0,,0.0,0.0,1.0,3,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211.0,0.018,-0.237,61.4,6.3,0.123,0.237,88.0,0,0,0.497,0.503,29,27,30,28,1,0,,,,,1.16,0.48,-0.48,,-9.26652617796623,32.888187634156296,36.757853157745465,43.23380120569135,3.4177783144840936
FF,2025-03-20,92.8,-2.86,6.17,"Gallen, Zac",609280,668678,,ball,,,,,13.0,"Miguel Andujar grounds out, shortstop Garrett Hampson to first baseman Pavin Smith.",S,R,R,AZ,ATH,B,,,0,0,2025,-0.7,1.32,-1.05,2.22,,669127.0,,2,1,Top,,,,,,,6.12560241898182,-135.02332777014516,-7.224926477535868,-9.841757356924964,27.32594533167825,-14.678603015666145,3.21,1.62,,,,92.9,2401.0,6.2,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.33,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213.0,0.0,0.018,,,,-0.018,,0,0,0.515,0.485,29,30,30,30,1,0,,,,,1.32,0.7,0.7,,,,,,
SL,2025-03-20,87.2,-3.02,6.05,"Gallen, Zac",609280,668678,,foul_tip,,,,,6.0,"Miguel Andujar grounds out, shortstop Garrett Hampson to first baseman Pavin Smith.",S,R,R,AZ,ATH,S,,,1,0,2025,0.46,0.27,0.4,2.45,,669127.0,,2,1,Top,,,,,,,7.23174078261437,-126.9220043376105,-3.085559345349889,3.647022770079787,24.474137452930083,-28.81840025237264,3.21,1.62,,,,87.1,2509.0,6.1,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.44,,,,,,,,4,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,131.0,0.0,-0.045,72.4,7.7,,0.045,,0,0,0.515,0.485,29,30,30,30,1,0,,,,,2.71,-0.46,-0.46,,9.821613754637069,-2.4451031383131108,22.29402985054656,43.77783786484709,30.598715029950696
FF,2025-03-20,94.3,-2.59,6.1,"Gallen, Zac",609280,668678,,ball,,,,,14.0,"Miguel Andujar grounds out, shortstop Garrett Hampson to first baseman Pavin Smith.",S,R,R,AZ,ATH,B,,,1,1,2025,-0.66,1.29,0.48,1.36,,669127.0,,2,1,Top,,,,,,,9.42894176594713,-136.85170738301355,-9.489161566898243,-10.26307186403767,28.794406858098537,-13.998421579399698,3.21,1.62,,,,94.3,2200.0,6.3,778775,645444,656976,545121,702679,641658,545341,694815,695521,54.15,,,,,,,,4,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210.0,0.0,0.025,,,,-0.025,,0,0,0.515,0.485,29,30,30,30,1,0,,,,,1.28,0.66,0.66,,,,,,
